team,airport
ATL,Atlanta
BOS,Boston
BRK,New York
CHH,Charlotte
CHI,Chicago
CHO,Charlotte
CLE,Cleveland
DAL,Dallas
DEN,Denver
DET,Detroit
GSW,Oakland
HOU,Houston
IND,Indianapolis
LAC,Los Angeles
LAL,Los Angeles
MEM,Memphis
MIA,Miami
MIL,Milwaukee
MIN,Minneapolis
NJN,New York
NOK,Oklahoma City
NOP,New Orleans
NYK,New York
OKC,Oklahoma City
ORL,Orlando
PHI,Philadelphia
PHO,Phoenix
POR,Portland
SAC,Sacramento
SAS,San Antonio
SEA,Seattle
TOR,Toronto
UTA,Salt Lake City
VAN,Vancouver
WAS,Washington
WSB,Washington
