current name,historical name,city,state,county,active,start,end
Atlanta Hawks,Tri-Cities Blackhawks ,Moline,IL,US,FALSE,1949,1951
Atlanta Hawks,Milwaukee Hawks ,Milwaukee,WI,US,FALSE,1951,1955
Atlanta Hawks,St. Louis Hawks ,St. Louis,MO,US,FALSE,1955,1968
Atlanta Hawks,Atlanta Hawks ,Atlanta,GA,US,TRUE,1968,
Boston Celtics,Boston Celtics,Boston,MA,US,TRUE,1946,
Brooklyn Nets,New York Nets ,New York,NY,US,FALSE,1976,1977
Brooklyn Nets,New Jersey Nets ,New York,NJ,US,FALSE,1977,2012
Brooklyn Nets,Brooklyn Nets ,New York,NY,US,TRUE,2012,
Charlotte Hornets,Charlotte Hornets ,Charlotte,NC,US,FALSE,1988,2002
Charlotte Hornets,Charlotte Bobcats ,Charlotte,NC,US,FALSE,2004,1914
Charlotte Hornets,Charlotte Hornets ,Charlotte,NC,US,TRUE,2014,
Chicago Bulls,Chicago Bulls,Chicago,IL,US,TRUE,1966,
Cleveland Cavaliers,Cleveland Cavaliers,Cleveland,OH,US,TRUE,1970,
Dallas Mavericks,Dallas Mavericks,Dallas,TX,US,TRUE,1980,
Denver Nuggets,Denver Nuggets,Denver,CO,US,TRUE,1976,
Detroit Pistons,Fort Wayne Pistons ,Fort Wayne,IN,US,FALSE,1948,1957
Detroit Pistons,Detroit Pistons ,Detroit,MI,US,TRUE,1957,
Golden State Warriors,Philadelphia Warriors ,Philadelphia,PA,US,FALSE,1946,1962
Golden State Warriors,San Francisco Warriors ,San Franscisco,CA,US,FALSE,1962,1971
Golden State Warriors,Golden State Warriors ,Oakland,CA,US,TRUE,1971,
Houston Rockets,San Diego Rockets ,San Diego,CA,US,FALSE,1967,1971
Houston Rockets,Houston Rockets ,Houston,TX,US,TRUE,1971,
Indiana Pacers,Indiana Pacers,Indianapolis,IN,US,TRUE,1976,
Los Angeles Clippers,Buffalo Braves ,Buffalo,NY,US,FALSE,1970,1978
Los Angeles Clippers,San Diego Clippers ,San Diego,CA,US,FALSE,1978,1984
Los Angeles Clippers,Los Angeles Clippers ,Los Angeles,CA,US,TRUE,1984,
Los Angeles Lakers,Minneapolis Lakers ,Minneapolis,MN,US,FALSE,1948,1960
Los Angeles Lakers,Los Angeles Lakers ,Los Angeles,CA,US,TRUE,1960,
Memphis Grizzlies,Vancouver Grizzlies ,Vancouver,BC,CA,FALSE,1995,2001
Memphis Grizzlies,Memphis Grizzlies ,Memphis,TN,US,TRUE,2001,
Miami Heat,Miami Heat,Miami,FL,US,TRUE,1988,
Milwaukee Bucks,Milwaukee Bucks,Milwaukee,WI,US,TRUE,1968,
Minnesota Timberwolves,Minnesota Timberwolves,Minneapolis,MN,US,TRUE,1989,
New Orleans Pelicans,New Orleans Hornets ,New Orleans,LA,US,FALSE,2002,2005
New Orleans Pelicans,New Orleans/Oklahoma City Hornets ,New Orleans/Oklahoma City,LA/OK,US,FALSE,2005,2007
New Orleans Pelicans,New Orleans Hornets ,New Orleans,LA,US,FALSE,2007,2013
New Orleans Pelicans,New Orleans Pelicans ,New Orleans,LA,US,TRUE,2013,
New York Knickerbockers,New York Knickerbockers,New York,NY,US,TRUE,1946,
Oklahoma City Thunder,Seattle Supersonics ,Seattle,WA,US,FALSE,1967,2008
Oklahoma City Thunder,Oklahoma City Thunder ,Oklahoma City,OK,US,TRUE,2008,
Orlando Magic,Orlando Magic,Orlando,FL,US,TRUE,1989,
Philadelphia 76Ers,Syracuse Nationals ,Syracuse,NY,US,FALSE,1949,1963
Philadelphia 76Ers,Philadelphia 76Ers ,Philadelphia,PA,US,TRUE,1963,
Phoenix Suns,Phoenix Suns,Phoenix,AZ,US,TRUE,1968,
Portland Trailblazers,Portland Trailblazers,Portland,OR,US,TRUE,1970,
Sacramento Kings,Rochester Royals ,Rochester,NY,US,FALSE,1948,1957
Sacramento Kings,Cincinnati Royals ,Cincinnati,OH,US,FALSE,1957,1972
Sacramento Kings,Kansas City-Omaha Kings ,Kansas City,MO,US,FALSE,1972,1975
Sacramento Kings,Kansas City Kings ,Kansas City,MO,US,FALSE,1975,1985
Sacramento Kings,Sacramento Kings ,Sacramento,CA,US,TRUE,1985,
San Antonio Spurs,San Antonio Spurs,San Antonio,TX,US,TRUE,1976,
Toronto Raptors,Toronto Raptors,Toronto,ON,CA,TRUE,1995,
Utah Jazz,New Orleans Jazz ,New Orleans,LA,US,FALSE,1974,1979
Utah Jazz,Utah Jazz ,Salt Lake City,UT,US,TRUE,1979,
Washington Wizards,Chicago Packers ,Chicago,IL,US,FALSE,1961,1962
Washington Wizards,Chicago Zephyrs ,Chicago,IL,US,FALSE,1962,1963
Washington Wizards,Baltimore Bullets ,Baltimore,MD,US,FALSE,1963,1973
Washington Wizards,Capital Bullets ,Washington,DC,US,FALSE,1973,1974
Washington Wizards,Washington Bullets ,Washington,DC,US,FALSE,1974,1998
Washington Wizards,Washington Wizards ,Washington,DC,US,TRUE,1998,
